Labels	Definition	Examples
Open.Attend	These are usually greetings.	Hey! Hi there!
Open.Command	Making a request, an invitation or command to start a dialog or discussion of a new topic.	Could you tell me about this?
Open.Demand.Fact	Demanding factual information at the beginning of a conversation or when introducing a new topic.	What's happening with this situation?
Open.Demand.Opinion	Demanding judgment or evaluative information from the interlocutor at the beginning of a conversation or when introducing a new topic.	What do you think about this?
Open.Give.Fact	Providing factual information at the beginning of a conversation or when introducing a new topic.	This is what happened today.
Open.Give.Opinion	Providing judgment or evaluative information at the beginning of a conversation or when introducing a new topic.	I think this is really important.
React.Rejoinder.Support	Any type of question or detailed supportive response to the interlocutor's statements, expressions of positive emotion, and grounding utterances that show engagement.	Really? Tell me more. Interesting!
React.Rejoinder.Confront	Any type of question or detailed confrontational response to the interlocutor's statements, expressions of negative emotion, or challenging utterances.	But why? That doesn't make sense. Are you sure?
React.Respond.Support	Positive responses to questions, expressions of understanding or agreement, and provision of new supportive information. The speaker of the current utterance differs from the previous one.	Yes, exactly. I agree. That's right.
React.Respond.Confront	Negative responses to questions, expressions of disagreement or misunderstanding, and denial of statements. The speaker of the current utterance differs from the previous one.	No, that's wrong. I disagree. That's not right.
React.Respond.Command	Making a request, an invitation or command in response to previous information.	Please stop. Can you explain that?
